OBJECTID,NCESSCH,LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR,Match-Name,Type,enroll-per,enrollment_fid,enrollment_School,enrollment_Type,enrollment_Cluster,enrollment_Area,enrollment_Enrollment,enrollment_Capacity,enrollment_Map,future_use
24783.0,130174000083.0,1301740.0,Chapel Hill Middle School,13.0,3535 Dogwood Farm Rd,Decatur,GA,30034.0,13.0,13089.0,DeKalb County,21.0,33.68,-84.21599999999998,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1304.0,13084.0,13010.0,2022-2023,Chapel Hill Middle School,Middle,,,,,,,,,,n
24784.0,130174000162.0,1301740.0,Shadow Rock Elementary School,13.0,1040 King Way Dr,Lithonia,GA,30058.0,13.0,13089.0,DeKalb County,21.0,33.7636,-84.14459999999998,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1304.0,13088.0,13055.0,2022-2023,Shadow Rock Elementary,Elementary,0.693,117.0,Shadow Rock ES,Elementary,Redan,Horizon,449.0,648.0,Map,n
24785.0,130174000222.0,1301740.0,Salem Middle School,13.0,5333 Salem Rd,Lithonia,GA,30038.0,13.0,13089.0,DeKalb County,21.0,33.6769,-84.1722,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1304.0,13090.0,13043.0,2022-2023,Salem Middle School,Middle,,,,,,,,,,n
24787.0,130174000636.0,1301740.0,Redan High School,13.0,5247 Redan Rd,Stone Mountain,GA,30088.0,13.0,13089.0,DeKalb County,21.0,33.7585,-84.17829999999998,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1304.0,13087.0,13055.0,2022-2023,Redan High School,High,0.609,107.0,Redan HS,High,Redan,High,1057.0,1736.0,Map,n
24788.0,130174000637.0,1301740.0,Austin Elementary School,13.0,5321 Roberts Dr,Dunwoody,GA,30338.0,13.0,13089.0,DeKalb County,21.0,33.956073,-84.334412,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1306.0,13079.0,13040.0,2022-2023,Austin Elementary,Elementary,0.831,4.0,Austin ES,Elementary,Dunwoody,Elementary 1,818.0,984.0,Map,n
24789.0,130174000638.0,1301740.0,Vanderlyn Elementary School,13.0,1877 Vanderlyn Dr,Dunwoody,GA,30338.0,13.0,13089.0,DeKalb County,21.0,33.9462,-84.312,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1306.0,13079.0,13040.0,2022-2023,Vanderlyn Elementary,Elementary,0.857,134.0,Vanderlyn ES,Elementary,Dunwoody,Elementary 1,473.0,552.0,Map,c
24790.0,130174000639.0,1301740.0,Cedar Grove High School,13.0,2360 River Rd,Ellenwood,GA,30294.0,13.0,13089.0,DeKalb County,21.0,33.6764,-84.29439999999998,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1305.0,13089.0,13044.0,2022-2023,Cedar Grove High School,High,0.839,17.0,Cedar Grove HS,High,Cedar Grove,High,1066.0,1271.0,Map,c
24791.0,130174000640.0,1301740.0,Bob Mathis Elementary School,13.0,3505 Boring Rd,Decatur,GA,30034.0,13.0,13089.0,DeKalb County,21.0,33.689684,-84.240834,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1304.0,13084.0,13010.0,2022-2023,Bob Mathis Elementary,Elementary,0.875,8.0,Bob Mathis ES,Elementary,Southwest DeKalb,Elementary 3,420.0,480.0,Map,c
24792.0,130174000642.0,1301740.0,Fairington Elementary School,13.0,5505 Philip Bradley Dr,Lithonia,GA,30038.0,13.0,13089.0,DeKalb County,21.0,33.6957,-84.16469999999998,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1304.0,13091.0,13010.0,2022-2023,Fairington Elementary,Elementary,0.767,53.0,Fairington ES,Elementary,MLK,Horizon,460.0,600.0,Map,n
24793.0,130174000644.0,1301740.0,Stone Mountain High School,13.0,4555 Central Dr,Stone Mountain,GA,30083.0,13.0,13089.0,DeKalb County,21.0,33.8105,-84.202,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1304.0,13087.0,13041.0,2022-2023,Stone Mountain High School,High,1.003,125.0,Stone Mountain HS,High,Stone Mountain,High,1213.0,1209.0,Map,n
24794.0,130174000645.0,1301740.0,Cedar Grove Elementary School,13.0,2330 River Rd,Ellenwood,GA,30294.0,13.0,13089.0,DeKalb County,21.0,33.6761,-84.2971,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1305.0,13089.0,13044.0,2022-2023,Cedar Grove Elementary,Elementary,0.744,16.0,Cedar Grove ES,Elementary,Cedar Grove,Elementary 3,500.0,672.0,Map,c
