NAME,LAT,LON,Type,future_use,Enrollment,Capacity
Allgood Elementary School,33.7794,-84.21219999999998,Elementary,n,612.0,696.0
Arabia Mountain High School - Academy of Engineering- Medic,33.650543,-84.131015,High,n,1170.0,1581.0
Ashford Park Elementary School,33.87434,-84.322021,Elementary,c,776.0,480.0
Austin Elementary School,33.956073,-84.334412,Elementary,n,818.0,984.0
Avondale Elementary School,33.773871,-84.261955,Elementary,n,593.0,648.0
Barack H. Obama Elementary Magnet School of Technology,33.695793,-84.301874,Elementary,n,841.0,984.0
Bethune Middle School,33.73402683159984,-84.20247624964996,,e,702.0,1290.0
Bob Mathis Elementary School,33.689684,-84.240834,Elementary,c,420.0,480.0
Bouie Theme,33.689261,-84.184304,Elementary,n,610.0,792.0
Briar Vista Elementary School,33.8101,-84.3383,Elementary,n,531.0,528.0
Briarlake Elementary School,33.8392,-84.2692,Elementary,n,358.0,480.0
Brockett Elementary School,33.8375,-84.2221,Elementary,c,390.0,504.0
Browns Mill Elementary School,33.677,-84.1893,Elementary,c,378.0,648.0
Canby Lane Elementary School,33.7221,-84.2206,Elementary,c,446.0,648.0
Cary Reynolds Elementary School,33.915132,-84.32016799999998,Elementary,n,297.0,624.0
Cedar Grove Elementary School,33.6761,-84.2971,Elementary,c,500.0,672.0
Cedar Grove High School,33.6764,-84.29439999999998,High,c,1066.0,1271.0
Cedar Grove Middle School,33.6873,-84.29569999999998,,c,640.0,1290.0
Chamblee High School,33.8982,-84.30599999999998,High,n,1930.0,1705.0
Chamblee Middle School,33.8967,-84.3109,,n,1049.0,1080.0
Champion Theme Middle School,33.805332,-84.17394,Middle,c,765.0,780.0
Champion Theme Elementary School,33.8052,-84.1733,,n,765.0,780.0
Chapel Hill Elementary School,33.679,-84.2187,Elementary,n,499.0,696.0
Chapel Hill Middle School,33.68,-84.21599999999998,,n,629.0,1140.0
Chesnut Elementary School,33.9279,-84.2959,Elementary,n,583.0,456.0
Clarkston High School,33.7936,-84.2371,High,n,1510.0,1333.0
Columbia Elementary School,33.72,-84.25759999999998,Elementary,c,363.0,696.0
Columbia High School,33.7281,-84.2509,High,n,821.0,1426.0
Columbia Middle School,33.6974,-84.2535,,n,525.0,1320.0
Cross Keys High School,33.8439,-84.33799999999998,High,n,1745.0,1271.0
Doraville United Elementary School,33.89599,-84.28643099999998,Elementary,n,1002.0,936.0
Dresden Elementary School,33.8693,-84.2921,Elementary,n,605.0,696.0
Druid Hills High School,33.7933,-84.3157,High,n,1471.0,1395.0
Druid Hills Middle School,33.8193,-84.27299999999998,,n,980.0,1170.0
Dunaire Elementary School,33.7799,-84.22889999999998,Elementary,n,431.0,672.0
Dunwoody Elementary School,33.9416,-84.3083,Elementary,n,790.0,960.0
Dunwoody High School,33.9455,-84.31529999999998,High,n,2021.0,1550.0
Eldridge L. Miller Elementary School,33.7697,-84.1795,Elementary,n,450.0,648.0
Evansdale Elementary School,33.8736,-84.2403,Elementary,c,503.0,528.0
Fairington Elementary School,33.6957,-84.16469999999998,Elementary,n,460.0,600.0
Fernbank Elementary School,33.778387,-84.316293,Elementary,n,886.0,984.0
Flat Rock Elementary School,33.6588,-84.1597,Elementary,n,961.0,960.0
Flat Shoals Elementary School,33.7063,-84.28369999999998,Elementary,c,369.0,600.0
Freedom Middle School,33.7819,-84.1966,,n,1169.0,1290.0
Hambrick Elementary School,33.8095,-84.2046,Elementary,n,532.0,672.0
Hawthorne Elementary School,33.8601,-84.2731,Elementary,n,378.0,432.0
Henderson Middle School,33.867,-84.2525,,n,1344.0,1590.0
Henderson Mill Elementary School,33.8563,-84.2587,Elementary,c,539.0,504.0
Hightower Elementary School,33.9184,-84.2813,Elementary,n,602.0,504.0
Huntley Hills Elementary School,33.9116,-84.3028,Elementary,n,505.0,504.0
Idlewood Elementary School,33.8273,-84.2226,Elementary,n,885.0,768.0
Indian Creek Elementary School,33.79711,-84.23804199999998,Elementary,n,964.0,1224.0
John Robert Lewis Elementary School,33.862726,-84.31545699999998,Elementary,n,842.0,984.0
Jolly Elementary School,33.8099,-84.22589999999998,Elementary,n,789.0,696.0
Kelley Lake Elementary School,33.7159,-84.2839,Elementary,c,302.0,480.0
Kingsley Elementary School,33.9482,-84.2972,Elementary,c,385.0,504.0
Lakeside High School,33.8453,-84.2848,High,n,2224.0,1705.0
Laurel Ridge Elementary School,33.8154,-84.27599999999998,Elementary,n,437.0,504.0
Lithonia High School,33.725,-84.1294,High,c,1564.0,1426.0
Lithonia Middle School,33.7148,-84.11069999999998,,e,1064.0,1230.0
Livsey Elementary School,33.8683,-84.2187,Elementary,n,383.0,312.0
Marbut Elementary School,33.7307,-84.1524,Elementary,n,428.0,792.0
Martin Luther King- Jr. High School,33.6611,-84.1988,High,n,1352.0,2046.0
McLendon Elementary School,33.8041,-84.26179999999998,Elementary,c,329.0,528.0
McNair DLA Elementary,33.727048,-84.307821,Elementary, c,452.0,888.0
McNair High School,33.705,-84.32599999999998,High,n,770.0,1674.0
McNair Middle School,33.719133,-84.29770499999998,Middle,e,707.0,1200.0
Midvale Elementary School,33.8567,-84.235,Elementary,c,411.0,552.0
Miller Grove High School,33.7097,-84.149,High,n,1093.0,1860.0
Miller Grove Middle School,33.7239,-84.18349999999998,,e,606.0,1110.0
Montclair Elementary School,33.8477,-84.31999999999998,Elementary,n,586.0,648.0
Montgomery Elementary School,33.9097,-84.3323,Elementary,n,724.0,600.0
Murphey Candler Elementary School,33.651,-84.12739999999998,Elementary,n,498.0,648.0
Narvie Harris Elementary School,33.6668,-84.2266,Elementary,n,535.0,816.0
Oak Grove Elementary School,33.8366,-84.2889,Elementary,c,428.0,504.0
Oakcliff Elementary School,33.903,-84.25879999999998,Elementary,n,621.0,672.0
Oakview Elementary,33.6799,-84.2689,Elementary,n,672.0,960.0
Panola Way Elementary School,33.729,-84.1692,Elementary,n,550.0,840.0
Peachcrest Elementary School,33.74757,-84.24556099999998,Elementary,n,720.0,984.0
Peachtree Middle School,33.9311,-84.2968,,n,1209.0,1230.0
Pine Ridge Elementary School,33.7734,-84.1205,Elementary,n,543.0,840.0
Pleasantdale Elementary School,33.891115,-84.234611,Elementary,n,794.0,984.0
Princeton Elementary School,33.7615,-84.1148,Elementary,n,749.0,936.0
Rainbow Elementary School,33.7049,-84.2251,Elementary,n,333.0,648.0
Redan Elementary School,33.7454,-84.13559999999998,Elementary,c,522.0,696.0
Redan High School,33.7585,-84.17829999999998,High,n,1057.0,1736.0
Redan Middle School,33.7415,-84.1572,,n,539.0,1290.0
Robert Shaw Theme School,33.7862,-84.2547,Elementary,c,321.0,504.0
Rock Chapel Elementary School,33.759733,-84.079952,Elementary,c,375.0,552.0
Rockbridge Elementary School,33.78872,-84.197601,Elementary,n,790.0,984.0
Rowland Elementary School,33.7585,-84.2232,Elementary,c,375.0,552.0
Sagamore Hills Elementary School,33.8332,-84.30379999999998,Elementary,n,413.0,456.0
Salem Middle School,33.6769,-84.1722,,n,814.0,1200.0
Sequoyah Middle School,33.8914,-84.2714,,n,1522.0,1170.0
Shadow Rock Elementary School,33.7636,-84.14459999999998,Elementary,n,449.0,648.0
Smoke Rise Elementary School,33.850946,-84.193128,Elementary,n,1053.0,984.0
Snapfinger Elementary School,33.732,-84.2471,Elementary,n,415.0,864.0
Southwest DeKalb High School,33.702,-84.2245,High,n,1241.0,1922.0
Stephenson High School,33.7746,-84.12479999999998,High,n,1228.0,2077.0
Stephenson Middle School,33.7742,-84.11579999999998,,n,778.0,1440.0
Stone Mill Elementary School,33.8156,-84.18949999999998,Elementary,c,588.0,672.0
Stone Mountain Elementary School,33.8136,-84.1684,Elementary,n,414.0,600.0
Stone Mountain High School,33.8105,-84.202,High,n,1213.0,1209.0
Stone Mountain Middle School,33.8327,-84.212,,n,961.0,1410.0
Stoneview Elementary School,33.707538,-84.119629,Elementary,c,757.0,720.0
The Champion Middle Theme School,33.8052,-84.1733,,n,765.0,780.0
Toney Elementary School,33.7272,-84.2787,Elementary,c,199.0,600.0
Towers High School,33.7471,-84.23659999999998,High,c,781.0,1302.0
Tucker High School,33.8564,-84.21639999999998,High,n,1705.0,1736.0
Tucker Middle School,33.8472,-84.2142,,n,1159.0,1170.0
Vanderlyn Elementary School,33.9462,-84.312,Elementary,c,473.0,552.0
Woodridge Elementary School,33.7423,-84.2008,Elementary,c,385.0,504.0
Woodward Elementary School,33.8413,-84.33719999999998,Elementary,n,507.0,696.0
Wynbrooke Elementary School,33.788,-84.1114,Elementary,n,498.0,840.0
